Statistical profiling result from clg_on-v8.log, (42222 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     15    0.0%    0.1%  LazyCompile: *deserializeObject /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/bson/lib/parser/deserializer.js:65:27
     15    0.0%    0.1%  LazyCompile: *arrayClone node:events:865:20
     14    0.0%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
     14    0.0%    0.1%  LazyCompile: *get node:_http_incoming:112:16
     13    0.0%    0.1%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
     13    0.0%    0.1%  LazyCompile: *writeHead /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/on-headers/index.js:28:29
     13    0.0%    0.1%  LazyCompile: *log /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston/lib/winston/transports/console.js:44:6
     13    0.0%    0.1%  LazyCompile: *etag /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/etag/index.js:70:15
     13    0.0%    0.1%  LazyCompile: *Readable.on node:internal/streams/readable:874:33
     12    0.0%    0.1%  LazyCompile: *strEscape node:internal/util/inspect:480:19
     12    0.0%    0.1%  LazyCompile: *setStreamTimeout node:internal/stream_base_commons:237:26
     12    0.0%    0.1%  LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
     12    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
     12    0.0%    0.1%  LazyCompile: *get node:internal/streams/duplex:97:8
     12    0.0%    0.1%  LazyCompile: *authenticate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/authenticate.js:94:31
     12    0.0%    0.1%  LazyCompile: *afterWriteTick node:internal/streams/writable:484:24
     12    0.0%    0.1%  LazyCompile: *_addListener node:events:541:22
     12    0.0%    0.1%  LazyCompile: *Writable.write node:internal/streams/writable:335:36
     11    0.0%    0.1%  LazyCompile: *randomFillSync node:internal/crypto/random:113:24
     11    0.0%    0.1%  LazyCompile: *preferredEncodings /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:138:28
     11    0.0%    0.1%  LazyCompile: *onParserExecuteCommon node:_http_server:719:31
     11    0.0%    0.1%  LazyCompile: *format /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/content-type/index.js:65:17
     11    0.0%    0.1%  LazyCompile: *escapeExpression /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
     11    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
     10    0.0%    0.1%  RegExp: (?<=\n)
     10    0.0%    0.1%  LazyCompile: *writeOrBuffer /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_writable.js:363:23
     10    0.0%    0.1%  LazyCompile: *set /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/application.js:359:23
     10    0.0%    0.1%  LazyCompile: *ondata /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:679:18
     10    0.0%    0.1%  LazyCompile: *hash /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:596:14
     10    0.0%    0.1%  LazyCompile: *get node:internal/console/constructor:208:14
     10    0.0%    0.1%  LazyCompile: *extend /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
     10    0.0%    0.1%  LazyCompile: *end /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:250:27
     10    0.0%    0.1%  LazyCompile: *compression /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compression/index.js:59:31
      9    0.0%    0.1%  LazyCompile: *wrapper /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:12:33
      9    0.0%    0.1%  LazyCompile: *shouldSetCookie /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:464:29
      9    0.0%    0.1%  LazyCompile: *program /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:155:30
      9    0.0%    0.1%  LazyCompile: *normalizeParseOptions /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/qs/lib/parse.js:204:59
      9    0.0%    0.1%  LazyCompile: *lookupProperty /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      9    0.0%    0.1%  LazyCompile: *initialize /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/initialize.js:51:29
      9    0.0%    0.1%  LazyCompile: *getColorDepth node:internal/tty:106:23
      9    0.0%    0.1%  LazyCompile: *fromString node:buffer:437:20
      9    0.0%    0.1%  LazyCompile: *fastparse /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/parseurl/index.js:95:20
      9    0.0%    0.1%  LazyCompile: *assignSocket node:_http_server:262:62
      9    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      8    0.0%    0.1%  RegExp: [&<>"'`=]
      8    0.0%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      8    0.0%    0.1%  LazyCompile: *value node:internal/console/constructor:271:20
      8    0.0%    0.1%  LazyCompile: *handleWriteReq node:internal/stream_base_commons:45:24
      8    0.0%    0.1%  LazyCompile: *handle /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/layer.js:86:49
      8    0.0%    0.1%  LazyCompile: *get data /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/session/cookie.js:117:11
      8    0.0%    0.1%  LazyCompile: *endReadableNT node:internal/streams/readable:1351:23
      8    0.0%    0.1%  LazyCompile: *createNewLookupObject /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      8    0.0%    0.1%  LazyCompile: *_transform /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston/lib/winston/logger.js:275:13
